日期,GDP:现价,GDP:现价:第一产业,GDP:现价:第二产业,GDP:现价:第三产业,GDP:不变价,GDP:不变价:第一产业,GDP:不变价:第二产业,GDP:不变价:第三产业,GDP构成:现价:第一产业,GDP构成:现价:第二产业,GDP构成:现价:第三产业
1952,679.1,342.9,141.1,195.1,,,,,50.4933,20.7775,28.7292
1953,824.4,378,191.6,254.8,,,,,45.85153,23.24115,30.90733
1954,859.8,392,210.8,257,,,,,45.592,24.51733,29.89067
1955,911.6,421,221.5,269.1,,,,,46.18254,24.29794,29.51953
1956,1030.7,443.9,280.4,306.5,,,,,43.06782,27.20481,29.73707
1957,1071.4,430,316.6,324.8,,,,,40.1344,29.55012,30.31548
1958,1312.3,445.9,483.6,382.8,,,,,33.97851,36.85133,29.17016
1959,1447.5,383.8,616.7,447,,,,,26.51468,42.60449,30.88083
1960,1470.1,340.7,652.6,476.8,,,,,23.17529,44.39154,32.43317
1961,1232.3,441.1,393.5,397.7,,,,,35.79486,31.93216,32.27299
1962,1162.2,453.1,363.9,345.1,,,,,38.98641,31.31131,29.69368
1963,1248.3,497.5,412.8,337.9,,,,,39.8542,33.06897,27.06881
1964,1469.9,559,519.3,391.6,,,,,38.0298,35.32893,26.64127
1965,1734,651.1,608.5,474.4,,,,,37.54902,35.09227,27.35871
1966,1888.7,702.2,715.4,471.1,,,,,37.17901,37.87791,24.94308
1967,1794.2,714.2,608,472,,,,,39.80604,33.88697,26.30699
1968,1744.1,726.3,542.6,475.3,,,,,41.64325,31.1106,27.25188
1969,1962.2,736.2,695,531,,,,,37.51911,35.41943,27.06146
1970,2279.7,793.3,918.1,568.3,,,,,34.79844,40.27284,24.92872
1971,2456.9,826.3,1029.9,600.6,,,,,33.63181,41.91868,24.44544
1972,2552.4,827.4,1091.6,633.3,,,,,32.41655,42.76759,24.81194
1973,2756.2,907.5,1180.3,668.4,,,,,32.92577,42.82345,24.25078
1974,2827.7,945.2,1199.8,682.7,,,,,33.42646,42.43024,24.1433
1975,3039.5,971.2,1378.7,689.6,,,,,31.95262,45.35943,22.68794
1976,2988.6,967.1,1346,675.6,,,,,32.35963,45.03781,22.6059
1977,3250,942.2,1517.8,790.1,,,,,28.99077,46.70154,24.31077
1978,3678.7,1018.5,1755.1,905.1,3593,927.8,1776.5,888.8,27.68641,47.70979,24.6038
1979,4100.5,1259,1925.3,916.1,3865.8,984.7,1922.6,958.5,30.70357,46.95281,22.34118
1980,4587.6,1359.5,2204.7,1023.4,4168.6,970.1,2181.9,1016.6,29.63423,48.05781,22.30796
1981,4935.8,1545.7,2269,1121.1,4822.1,1454.4,2246.3,1121.5,31.3161,45.97026,22.71364
1982,5373.4,1761.7,2397.6,1214,5257,1622.1,2371.5,1263.4,32.78557,44.61979,22.59277
1983,6020.9,1960.9,2663,1397.1,5823.1,1757.1,2617.8,1448.2,32.56822,44.22927,23.20417
1984,7278.5,2295.6,3124.7,1858.2,6707.8,1983.5,2995.3,1729,31.53947,42.93055,25.52999
1985,9098.9,2541.7,3886.4,2670.8,7608.7,2020,3546.5,2042.1,27.93415,42.71286,29.353
1986,10376.2,2764.1,4515.1,3097,8289.6,2087.1,3908.9,2293.7,26.63885,43.514,29.84715
1987,12174.6,3204.5,5273.8,3696.3,9256,2185.3,4440.3,2630.4,26.32119,43.31806,30.36075
1988,15180.4,3831.2,6607.2,4742,10294.7,2240.8,5077,2976.9,25.23781,43.52454,31.23765
1989,17179.7,4228.2,7300.7,5650.8,10727.8,2309.8,5267.3,3150.7,24.61161,42.49609,32.89231
1990,18872.9,5017.2,7744.1,6111.6,11148.3,2479,5434.5,3234.8,26.58415,41.03291,32.38294
1991,22005.6,5288.8,9129.6,7587.2,20621,5135.3,8811.9,6673.8,24.03388,41.48762,34.4785
1992,27194.5,5800.3,11725,9669.2,23554.3,5374.1,10665.4,7514.8,21.32895,43.11534,35.55572
1993,35673.2,6887.6,16472.7,12313,26824.5,5624,12771.2,8429.3,19.30749,46.17668,34.51611
1994,48637.5,9471.8,22452.5,16713.1,30321.5,5845.9,15088.1,9387.5,19.47427,46.16294,34.36258
1995,61339.9,12020.5,28676.7,20642.7,33642.9,6134.8,17174.1,10334,19.59654,46.75048,33.65297
1996,71813.6,13878.3,33827.3,24108,36981.2,6444,19250.8,11286.4,19.32545,47.10431,33.57024
1997,79715,14265.2,37545,27904.8,40397,6665.5,21267.9,12463.7,17.89525,47.09904,35.00571
1998,85195.5,14618.7,39017.5,31559.3,43566.6,6894.3,23161.4,13510.9,17.159,45.79761,37.04339
1999,90564.4,14549,41079.9,34935.5,46904.5,7082.6,25061.4,14760.5,16.06481,45.35988,38.57531
2000,100280.1,14717.4,45663.7,39899.1,50886.7,7247.5,27435.6,16203.5,14.67629,45.53615,39.78765
2001,110863.1,15502.5,49659.4,45701.2,108639.2,15105.6,49542.4,43991.2,13.98346,44.79344,41.22309
2002,121717.4,16190.2,54104.1,51423.1,118561.9,15513.5,54444.5,48604,13.30147,44.45059,42.24794
2003,137422,16970.2,62695.8,57756,130463.2,15881.4,61341.1,53240.7,12.34897,45.62283,42.02821
2004,161840.2,20904.3,74285,66650.9,143657.8,16851,68178.1,58628.6,12.91663,45.90022,41.18315
2005,187318.9,21806.7,88082.2,77430,160027,17706,76447,65873.9,11.64148,47.02259,41.33592
2006,219438.5,23317,104359.2,91762.2,211147.7,22843.7,99932.3,88371.6,10.62576,47.55738,41.81682
2007,270092.3,27674.1,126630.5,115787.7,241195.8,23648.6,114970,102577.2,10.24616,46.88416,42.86968
2008,319244.6,32464.1,149952.9,136827.5,264472.8,24867.9,126281.9,113323,10.16904,46.97116,42.85977
2009,348517.7,33583.8,160168.8,154765.1,289329.9,25863.3,139279.8,124186.8,9.636182,45.95715,44.40667
2010,412119.3,38430.8,191626.5,182061.9,320102.6,26962.7,156945.5,136194.4,9.325164,46.49782,44.17699
2011,487940.2,44781.5,227035.1,216123.6,451480.1,40035.1,212108.9,199336.2,9.177662,46.52929,44.29305
2012,538580,49084.6,244639.1,244856.2,486983.3,41823.2,229848.9,215311.2,9.113706,45.42298,45.46329
2013,592963.2,53028.1,261951.6,277983.5,524803.1,43415.5,248207.4,233180.2,8.942899,44.1767,46.8804
2014,643563.1,55626.3,277282.8,310654,563773.8,45174.1,265968,252631.7,8.643488,43.08557,48.27095
2015,688858.2,57774.6,281338.9,349744.7,603470.9,46935.2,281731.3,274804.4,8.387009,40.84134,50.77165
2016,746395.1,60139.2,295427.8,390828.1,736036.5,59668.4,298307.8,378060.3,8.057288,39.58062,52.36209
2017,832035.9,62099.5,331580.5,438355.9,787170.4,62032,315813.4,409325,7.46356,39.85171,52.68473
2018,919281.1,64745.2,364835.2,489700.8,840302.6,64192.5,334106.6,442003.5,7.043025,39.68701,53.26997
2019,990865.1,70466.7,386165.3,534233.1,891646.1,66161.1,352992.5,472492.5,7.11,38.97,53.92