指标名称,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
资金流量表:金融交易:来源:资金来源合计:合计,15410.4,24341.87,35902.85,36401.72,52115.47,67955.17,37550.33,41169.25,44742.57,48791.73,73868.85,106510.6,110312,133792.3,174525,230180,235311,332691,430415.7,381272,454005,517059.6,539423,591661.3,731159.6,633238,357702.0822
资金流量表:金融交易:来源:资金来源合计:非金融企业部门,6876.2,9119.71,12410.11,12968.44,19698.47,15163.61,13543.44,13084.4,15236.68,13802.03,20646.79,31204.04,27944.01,29438.54,37729,46691,57960,100357,117986,111061,139116,148122.4,142908,140912.9,140243.4,128791,75711.99312
资金流量表:金融交易:来源:资金来源合计:金融机构部门,6134.2,12451.31,16646.45,17401.87,25126.43,44658.04,14386.38,19918.51,17303.61,23940.92,35637.6,52996.27,55419.9,71910.67,93505,107343,122790,168847,227985.7,196038,245774,266620.1,307717,352213.5,461521,356661,111350.1861
资金流量表:金融交易:来源:资金来源合计:政府部门,678.6,895.57,1434.12,1372.41,1981.84,1912.9,4818,3104.8,3714.48,3068.21,4796.3,4412.81,4616.55,4888.83,4259,20744,5797,11387,13920.3,10185,16445,20592.6,19502,54393.27,44124.69,42759,65662.67829
资金流量表:金融交易:来源:资金来源合计:住户部门,157.8,169.51,266.82,355.08,89.33,150.33,839.58,1316.33,2971.55,3506.78,5074.32,6987.62,5802.49,3540.84,6664,11979,7012,24889,30547.76,25496,27724,41850.29,38079,41497.05,70828.15,79488,80353.38532
资金流量表:金融交易:来源:资金来源合计:国外部门,1563.6,1705.77,5145.35,4303.92,5219.4,6070.3,3962.93,3745.22,5516.26,4473.79,7713.89,10909.85,16529.01,24013.44,32369,43423,41752,27211,39976.86,38492,24947,39874.17,31216,2644.62,14442.27,25538,24623.83944
资金流量表:金融交易:来源:通货:合计,1162.1,1528.7,1424,596.74,916.67,1375.6,1026.54,2251.34,1197.16,1036.15,1589.23,2467.96,1722.31,2563.37,3041,3303,4112,4046,6507.44,6162,3910,3915.4,1688,2957.09,5087.35,2342,2562.815509
资金流量表:金融交易:来源:通货:金融机构部门,1162.1,1528.7,1424,596.74,916.67,1375.6,1026.54,2251.34,1197.16,1036.15,1589.23,2467.96,1722.31,2563.37,3041,3303,4112,4046,6507.44,6162,3910,3915.4,1688,2957.09,5087.35,2342,2562.815509
资金流量表:金融交易:来源:资金来源合计:国内资金来源合计,13846.8,22636.1,30757.5,32097.8,46896.07,61884.87,33587.4,37424.03,39226.32,44317.94,66154.96,95600.75,93782.95,109778.9,142157,186756,193558,305481,390439.8,342780,429058,477185.4,508207,589016.7,716717.3,607699,333078.2428
资金流量表:金融交易:来源:存款:合计,5964.7,6478.43,11776.92,13414,16720.53,13312.98,14120.99,12338,16962.38,19350.81,28104.3,36661.51,32189.43,43318.2,50806,54412,79792,132764,130662.2,116442,132275,156841,135698,161082.8,175304.3,145489,105615.0545
资金流量表:金融交易:来源:通货:国内合计,1162.1,1528.7,1424,596.74,916.67,1375.9,1026.54,2251.34,1197.16,1036.15,1589.23,2467.96,1722.31,2563.37,3041,3303,4112,4046,6507.44,6162,3910,3915.4,1688,2957.09,5087.35,2342,2562.815509
资金流量表:金融交易:来源:存款:金融机构部门,5964.7,6478.43,11776.92,13414,16720.53,13139.02,14173.85,13399,16424.54,19135.64,27911.78,36159.61,33761.56,42473.03,50017,54243,77381,132764,130662.2,113415,129748,153562.5,130364,155584.4,172181.8,142153,105210.3146
资金流量表:金融交易:来源:存款:国内合计,5964.7,6478.43,11776.92,13414,16720.53,13139.02,14173.85,13399,16424.54,19135.64,27911.78,36159.61,33761.56,42473.03,50017,54243,77381,132764,130662.2,113415,129748,153562.5,130364,155584.4,172181.8,142153,105210.3146
资金流量表:金融交易:来源:存款:国外部门,,,,,,173.97,-52.86,-1061,537.87,215.17,192.52,501.91,-1572.13,845.17,790,168,2411,,,3026,2527,3278.51,5334,5498.45,3122.48,3336,404.739812
资金流量表:金融交易:来源:存款:活期存款:合计,,,,,,,,,,,,,,,,,,,,28628,33482,35452,12364,63491,86508,53987,18200.4959
资金流量表:金融交易:来源:存款:活期存款:金融机构部门,,,,,,,,,,,,,,,,,,,,28628,33482,35452,130364,63491,86508,53987,18200.4959
资金流量表:金融交易:来源:存款:活期存款:国内合计,,,,,,,,,,,,,,,,,,,,,,35451.87189,12364,,,53987,18200.4959
资金流量表:金融交易:来源:存款:定期存款:合计,,,,,,,,,,,,,,,,,,,,62307,71498,81239,74886,53635,64764,61411,96515.6095
资金流量表:金融交易:来源:存款:定期存款:金融机构部门,,,,,,,,,,,,,,,,,,,,62307,71498,81239,15523,53635,64764,61411,96515.6095
资金流量表:金融交易:来源:存款:定期存款:国内合计,,,,,,,,,,,,,,,,,,,,,,81238.70285,74886,,,61411,96515.6095
资金流量表:金融交易:来源:存款:财政存款:合计,,,,,,,,,,,,,,,,,,,,-300,-1782,5766,74886,-914,805,5684,-596.214799
资金流量表:金融交易:来源:存款:财政存款:金融机构部门,,,,,,,,,,,,,,,,,,,,-300,-1782,5766,5531,-914,805,5684,-596.214799
资金流量表:金融交易:来源:存款:财政存款:国内合计,,,,,,,,,,,,,,,,,,,,,,5766.446806,5531,,,5684,-596.214799
资金流量表:金融交易:来源:存款:外汇存款:合计,,,,,,,,,,,,,,,,,,,,6152,10785,5029,11942,6543,8738,8596,-3778.773655
资金流量表:金融交易:来源:存款:外汇存款:金融机构部门,,,,,,,,,,,,,,,,,,,,3126,8259,1751,6608,1045,5615,5260,-4183.513467
资金流量表:金融交易:来源:存款:外汇存款:国内合计,,,,,,,,,,,,,,,,,,,,,,1750.783289,6608,,,5260,-4183.513467
资金流量表:金融交易:来源:存款:外汇存款:国外部门,,,,,,,,,,,,,,,,,,,,3026,2527,3279,5334,5498,3122,3336,404.739812
资金流量表:金融交易:来源:存款:其他存款:合计,,,,,,,,,,,,,,,,,,,,19655,18291,29355,30975,38327,14490,15811,-4726.062487
资金流量表:金融交易:来源:存款:其他存款:金融机构部门,,,,,,,,,,,,,,,,,,,,19655,18291,29355,30975,38327,14490,15811,-4726.062487
资金流量表:金融交易:来源:存款:其他存款:国内合计,,,,,,,,,,,,,,,,,,,,,,29354.67884,30975,,,15811,-4726.062487
资金流量表:金融交易:来源:贷款:合计,5695,7573.55,9174.66,9946.4,15130.59,11627.1,11104.92,10973.02,13770.93,11643.34,19916.59,28506.43,25239.61,24207.75,33452,40979,54112,107875,97226.71,97009,121940,148307.6,142212,143292.1,155173.1,178597,127181.4914
资金流量表:金融交易:来源:贷款:非金融企业部门,5363.9,7063.06,8802.85,9696.32,15041.26,11300.23,10148.5,9140.42,9317.77,9413.6,14485.97,23734.85,17707.57,19165.81,26403,26471,42092,78990,64263.68,66963,91609,103757.3,101873,82867.21,110003.4,113137,49159.97248
资金流量表:金融交易:来源:贷款:金融机构部门,,,,9696.32,,-2.53,,-33,-307.27,-133.14,-156.8,801.95,811.49,194.49,672,1058,1517,441,251,1442,,,,15780.68,6585.03,5256,-6123.858903
资金流量表:金融交易:来源:贷款:政府部门,173.3,340.98,104.99,-105,,0.6,,265.27,263.22,123.57,66.89,-1865.22,118.68,242.25,106,1,672,107,194.24,1691,-18,29.05,-43,,-34903.4,-21150,4447.912485
资金流量表:金融交易:来源:贷款:住户部门,157.8,169.51,266.82,355.08,89.33,150.34,839.58,1316.33,2971.55,3506.78,5074.32,6987.62,5802.49,3540.84,6664,11979,7012,24889,30547.76,25496,27724,41850.29,38079,41497.05,70790.95,77863,78513.63658
资金流量表:金融交易:来源:贷款:国内合计,5695,7573.55,9174.66,9946.4,15130.59,11448.43,10988.08,10689.02,12245.27,12910.82,19470.37,29659.2,24440.24,23143.39,33845,39509,51293,104428,95412.51,95592,119315,145636.6,139909,140144.9,152476,175105,125997.6626
资金流量表:金融交易:来源:贷款:国外部门,,,,,,178.64,116.85,284,1525.66,-1267.47,446.22,-1152.77,799.37,1064.36,-393,1470,2820,3448,1814.2,1417,2624,2670.96,2303,3147.2,2697.1,3492,1183.828769
资金流量表:金融交易:来源:贷款:短期贷款与票据融资:合计,,,,,,,,,,,,,,,,,,,,,,44273,38520,46723,37407,28189,48347.79842
资金流量表:金融交易:来源:贷款:短期贷款与票据融资:非金融企业部门,,,,,,,,,,,,,,,,,,,,,,26445,23544,35650,30365,9010,23400.8798
资金流量表:金融交易:来源:贷款:短期贷款与票据融资:住户部门,,,,,,,,,,,,,,,,,,,,,,17828,14976,11074,7043,19180,24946.91862
资金流量表:金融交易:来源:贷款:短期贷款与票据融资:国内合计,,,,,,,,,,,,,,,,,,,,,,44272.9385,38520,,,28189,48347.79842
资金流量表:金融交易:来源:贷款:中长期贷款:合计,,,,,,,,,,,,,,,,,,,,35640,28742,45860,60644,65929,114485,126506,99607.25983
资金流量表:金融交易:来源:贷款:中长期贷款:非金融企业部门,,,,,,,,,,,,,,,,,,,,20993,15376,23378,38308,35406,57673,73489,50074.62235
资金流量表:金融交易:来源:贷款:中长期贷款:住户部门,,,,,,,,,,,,,,,,,,,,14646,13365,22482,22336,30523,56813,53017,49532.63748
资金流量表:金融交易:来源:贷款:中长期贷款:国内合计,,,,,,,,,,,,,,,,,,,,,,45860.35692,,,,126506,99607.25983
资金流量表:金融交易:来源:贷款:外汇贷款:合计,,,,,,,,,,,,,,,,,,,,6831,8812,6023,6326,-4027,-5913,3916,-940.672074
资金流量表:金融交易:来源:贷款:外汇贷款:非金融企业部门,,,,,,,,,,,,,,,,,,,,5396,6427,3450,4063,-7182,-7566,-320,-2246.238175
资金流量表:金融交易:来源:贷款:外汇贷款:政府部门,,,,,,,,,,,,,,,,,,,,-3,-25,-48,-43,,-1080,629,32.869297
资金流量表:金融交易:来源:贷款:外汇贷款:住户部门,,,,,,,,,,,,,,,,,,,,20,21,15,2,-7,8,-3,1.567725
资金流量表:金融交易:来源:贷款:外汇贷款:国内合计,,,,,,,,,,,,,,,,,,,,,,3416.469337,60644,,,426,-2168.495827
资金流量表:金融交易:来源:贷款:外汇贷款:国外部门,,,,,,,,,,,,,,,,,,,,1417,2389,2607,2303,3147,2715,3490,1227.823752
资金流量表:金融交易:来源:未贴现的银行承兑汇票:合计,,,,,,,,,,,,,,,,,,,46692,20542,20998,15511.31,-2396,-21137.1,-39062.1,10762,-12685.7089
资金流量表:金融交易:来源:未贴现的银行承兑汇票:非金融企业部门,,,,,,,,,,,,,,,,,,,23346,10271,10499,7755.66,-1198,-10568.5,-19531.1,5381,-6342.854451
资金流量表:金融交易:来源:未贴现的银行承兑汇票:金融企业部门,,,,,,,,,,,,,,,,,,,23346,10271,10499,7755.66,-1198,-10568.5,-19531.1,5381,-6342.854451
资金流量表:金融交易:来源:未贴现的银行承兑汇票:国内合计,,,,,,,,,,,,,,,,,,,46692,20542,20998,15511.31,-2396,-21137.1,-39062.1,10762,-12685.7089
资金流量表:金融交易:来源:证券:合计,1152.9,637.82,1616.29,2062.45,2549.07,4613.91,7432.62,5122.06,6149.29,5148.14,8020.08,10608.71,15595.99,22966.61,26207,39422,29997,29778,39548,21540,45941,39584.36,64366,130935,177188.3,,
资金流量表:金融交易:来源:证券:非金融企业部门,807.2,283.1,94.63,-2.02,380.8,1508.41,876.82,1028.07,2199.69,1398.94,1286.74,1795.6,2013.7,3084.39,5080,7760,8733,16810,18532.88,19397,24660,22340.06,33300,37096.89,49750.95,,
资金流量表:金融交易:来源:证券:金融机构部门,10.9,78,776,1050.57,603.97,1240.5,1637.73,1317.69,817.6,1151.2,3006.5,3600.15,10408.29,16885.72,18451,14370,20236,4786,11278.69,-3927,12625,4139.19,19177,44111.16,50104.47,,
资金流量表:金融交易:来源:证券:政府部门,334.8,276.72,745.66,1013.9,1564.3,1865,4918.07,2776.3,3132,2598,3726.85,5212.96,3174,2996.5,2675,17292,1027,8182,9736,6142,8783,12949,11804,47252,71207.37,,
资金流量表:金融交易:来源:证券:国内合计,1152.9,637.82,1616.29,2062.45,2549.07,4613.91,7432.62,5122.06,6149.29,5148.14,8020.08,10608.71,15595.99,22966.61,26207,39422,29997,29778,39546.7,21611,46068,39428.25,64281,128460.1,171062.8,,
资金流量表:金融交易:来源:证券:债券:合计,,,,,,,,,,,,,,,,,,,,16195,41079,34615,54064,119008,160061,101689,115094.691
资金流量表:金融交易:来源:证券:债券:非金融企业部门,,,,,,,,,,,,,,,,,,,,13659,22532,18111,24329,29340,36337,2607,18298.12646
资金流量表:金融交易:来源:证券:债券:金融机构部门,,,,,,,,,,,,,,,,,,,,-3605,9764,3555,17931,42416,48951,41412,45349.96815
资金流量表:金融交易:来源:证券:债券:政府部门,,,,,,,,,,,,,,,,,,,,6142,8783,12949,11804,47252,71207,55807,48531.83567
资金流量表:金融交易:来源:证券:债券:国内合计,,,,,,,,,,,,,,,,,,,,,,34614.91197,64281,,,99827,112179.9303
资金流量表:金融交易:来源:证券:债券:国债:合计,,,,,,,,,,,,,,,,,,,,6142,8783,12949,11804,47252,72183,,
资金流量表:金融交易:来源:证券:债券:国债:政府部门,,,,,,,,,,,,,,,,,,,,6142,8783,12949,11804,47252,71207,,
资金流量表:金融交易:来源:证券:债券:国债:国内合计,,,,,,,,,,,,,,,,,,,,,,12949,54064,,,,
资金流量表:金融交易:来源:证券:债券:金融债券:合计,,,,,,,,,,,,,,,,,,,,16213,17614,11473,19171,42366,54769,42294,46691.35784
资金流量表:金融交易:来源:证券:债券:金融债券:金融机构部门,,,,,,,,,,,,,,,,,,,,16213,17614,11473,19171,42366,53173,41412,45349.96815
资金流量表:金融交易:来源:证券:债券:金融债券:国内合计,,,,,,,,,,,,,,,,,,,,,,11472.91197,11804,,,41412,45349.96815
资金流量表:金融交易:来源:证券:债券:中央银行债券:合计,,,,,,,,,,,,,,,,,,,,-19818,-7850,-7918,-1240,50,-4201,9,6.771342
资金流量表:金融交易:来源:证券:债券:中央银行债券:金融机构部门,,,,,,,,,,,,,,,,,,,,-19818,-7850,-7918,-1240,50,-4222,,
资金流量表:金融交易:来源:证券:债券:中央银行债券:国内合计,,,,,,,,,,,,,,,,,,,,,,-7918,19171,,,,6.771342
资金流量表:金融交易:来源:证券:债券:企业债券:合计,,,,,,,,,,,,,,,,,,,,13658,22532,18111,24329,29340,37310,3260,19908.40415
资金流量表:金融交易:来源:证券:债券:企业债券:非金融企业部门,,,,,,,,,,,,,,,,,,,,13658,22532,18111,24329,29340,36337,2607,18298.12646
资金流量表:金融交易:来源:证券:债券:企业债券:国内合计,,,,,,,,,,,,,,,,,,,,,,18111,-1240,,,2607,18298.12646
资金流量表:金融交易:来源:证券:股票:合计,,,,,,,,,,,,,,,,,,,,5345,4862,4969,10303,11927,17127,14581,10626.42956
资金流量表:金融交易:来源:证券:股票:非金融企业部门,,,,,,,,,,,,,,,,,,,,5738,2129,4229,8971,7757,13414,9922,6758.145988
资金流量表:金融交易:来源:证券:股票:金融机构部门,,,,,,,,,,,,,,,,,,,,-322,2861,584,1246,1695,1153,2114,2696.188145
资金流量表:金融交易:来源:证券:股票:国内合计,,,,,,,,,,,,,,,,,,,,,,4813.342411,24329,,,12036,9454.334132
资金流量表:金融交易:来源:证券:股票:国外部门,,,,,,,,,,,,,,,,,,,,-71,-128,156.11,85,2474.93,6125.56,2545,1172.095427
资金流量表:金融交易:来源:证券投资基金份额:合计,,,,,,,,,,,,,,,1191,5437,3336,-1206,-1566.3,2282,5198,1352.15,15328,23630,11754,21754,18784
资金流量表:金融交易:来源:证券投资基金份额:金融机构部门,,,,,,,,,,,,,,,1191,5437,3336,-1206,-1566.3,2282,5198,1352.15,15328,23630,11754,21754,18784
资金流量表:金融交易:来源:证券投资基金份额:国内合计,,,,,,,,,,,,,,,1191,5437,3336,-1206,-1566.3,2282,5198,1352.15,15328,23630,11754,21754,18784
资金流量表:金融交易:来源:证券公司客户保证金:合计,,,,,,,,,,,,,,,3416,8986,-5340,6272,-2372.87,-6511,-685,-310.41,8169,11200.51,-6226.71,-4598,-1228.874018
资金流量表:金融交易:来源:证券公司客户保证金:金融机构部门,,,,,,,,,,,,,,,3416,8986,-5340,6272,-2372.87,-6511,-685,-310.41,8169,11200.51,-6226.71,,-1228.874018
资金流量表:金融交易:来源:证券公司客户保证金:国内合计,,,,,,,,,,,,,,,3416,8986,-5340,6272,-2372.87,-6511,-685,-310.41,8169,11200.51,-6226.71,,-1228.874018
资金流量表:金融交易:运用:净金融投资:非金融企业部门,-3342.5,-5672.41,-6682.97,-8079.47,-11967.8,-8965.26,-8446.58,-6418.62,-5269.3,-5725,-10449.7,-14530.7,-9080.74,-14716.4,-9637,-11453,-27546,-25326,-15122.6,-44271,-44272,-37421,-64014,-10806.6,-16006.9,-56254,-79874.50049
资金流量表:金融交易:运用:净金融投资:金融机构部门,59.2,349.58,-105.23,-208.34,2081.14,1154.12,277.15,-991.02,66.86,-2381.87,483.7,2672.01,1742.22,-1462.52,-2454,20450,8490,2066,-2438.55,-1318,-18554,-15838.2,8918,-61245.3,-10758.7,24744,74253.40651
资金流量表:金融交易:运用:净金融投资:政府部门,-654.7,-227.3,-49.27,-88.63,-403.84,-744.87,-1097.93,-2190.22,-999.88,-1068.6,-1752,-540.47,-2429.69,3310.67,4687,-6540,61,8264,5619.04,10178,5899,15809.24,20393,11507.91,-8083.7,155,-46515.48708
资金流量表:金融交易:运用:净金融投资:住户部门,4291.1,4892.05,7499.51,8513.24,10902.39,11027.08,11626.16,10898.08,7898.05,10611.12,14646.54,16122.39,15450.36,26372.17,27706,23119,50290,35907,37715.06,48644,69335,48913.09,50328,81184.71,47870.15,42482,55347.55086
资金流量表:金融交易:运用:净金融投资:国内合计,353.1,-658.08,662.04,136.8,611.93,2471.06,2358.8,1298.22,1695.73,1435.66,2928.44,3726.1,5682.15,13503.9,20300,25575,31296,20911,25772.93,13234,12408,11463.14,15624,20640.67,13020.93,11127,3210.969806
资金流量表:金融交易:运用:净金融投资:国外部门,-353.1,658.08,-662.04,-136.8,-611.93,-2471.06,-2358.8,-1298.22,-1695.72,-1435.66,-2928.44,-3725.63,-5682.15,-13503.9,-20300,-25575,-31296,-20911,-25773.1,-13234,-12408,-11463.1,-15624,-20640.7,-13021.2,-11127,-3210.971307
资金流量表:金融交易:运用:资金运用合计:合计,15410.4,24341.87,35902.85,36401.72,52115.47,,37550.33,41169.25,,48791.73,73868.85,106511.1,110312,133792.3,174525,230180,235310,332691,430416.5,381272,454004,517059.6,539423,591661.3,731159.6,633238,357702.0807
资金流量表:金融交易:运用:资金运用合计:非金融企业部门,3533.7,3447.3,5727.14,4888.97,7730.71,,5096.85,6665.77,,8077.03,10197.05,16673.39,18863.27,14722.12,28092,35237,30415,75031,102863.5,66790,94843,110701.5,78893,130106.3,124236.6,72537,-4162.507366
资金流量表:金融交易:运用:资金运用合计:金融机构部门,6193.4,12800.89,16541.22,17193.53,27207.57,,14663.53,18927.49,,21559.05,36121.2,55668.29,57162.12,70448.15,91050,127793,131280,170913,225547.2,194721,227219,250781.8,316636,290968.1,450762.4,381405,185603.5926
资金流量表:金融交易:运用:资金运用合计:政府部门,23.9,668.27,1384.85,1283.78,1578,,3720.07,914.58,,1999.61,3044.3,3872.35,2186.86,8199.49,8946,14204,5858,19651,19539.34,20363,22344,36401.84,39895,65901.18,36040.99,42914,19147.19121
资金流量表:金融交易:运用:资金运用合计:住户部门,4448.9,5061.56,7766.33,8868.32,10991.72,,12465.74,12214.41,,14117.9,19720.85,23110.01,21252.85,29913.01,34370,35098,57302,60796,68262.82,74140,97059,90763.37,88407,122681.8,118698.3,121970,135700.9362
资金流量表:金融交易:运用:资金运用合计:国内合计,14199.9,21978.02,31419.54,32234.6,47508,,35946.2,38722.25,,45753.59,69083.4,99326.85,99465.1,123282.8,162457,212332,224854,326391,416212.7,356014,441465,488648.5,523831,609657.4,729738.3,618826,336289.2126
资金流量表:金融交易:运用:资金运用合计:国外部门,1210.5,2363.85,4483.31,4167.12,4607.47,,1604.12,2447,,3038.13,4785.45,7184.22,10846.87,10509.55,12068,17848,10456,6300,14202.75,25258,12539,28411.04,15592,-17996.1,1421.06,14412,21412.86813
资金流量表:金融交易:运用:通货:合计,1162.1,1528.7,1424,596.74,916.67,1375.6,1026.54,2251.34,1197.16,1036.16,1589.44,2468.44,1722.31,2563.69,3041,3303,4112,4046,6507.44,6162,3910,3915.4,1688,2957.09,5087.35,2342,2562.815509
资金流量表:金融交易:运用:通货:非金融企业部门,222.8,324.02,305.34,127.94,89.48,139.55,96.68,202.62,107.74,93.25,143.03,222,155.52,230.7,274,297,370,364,585.67,555,321,321.32,152,266.14,457.86,211,230.653396
资金流量表:金融交易:运用:通货:金融机构部门,34.2,30.15,37.95,15.93,34.78,,,,,0.01,0.21,1,-0.96,,,,,,-40.27,153,31,31.07,269,353.05,,,
资金流量表:金融交易:运用:通货:政府部门,48,41.51,13.96,5.85,9.28,14.44,19.37,45.02,23.94,20.72,31.78,49.36,34.56,51.66,60,67,82,81,130.15,123,78,78.31,34,59.14,101.75,47,51.25631
资金流量表:金融交易:运用:通货:住户部门,857.1,1133.02,1066.75,447.02,783.13,1221.62,850.75,1868.61,993.65,873.87,1319.06,2048,1434.2,2127.6,2524,2741,3413,3358,5441.45,4961,3245,3249.78,1132,2101.33,4516.54,2086,1968.605803
资金流量表:金融交易:运用:通货:国内合计,1162.1,1528.7,1424,596.74,916.67,1375.6,966.79,2116.25,1125.33,987.86,1494.09,2320.36,1623.31,2409.89,2858,3105,3865,3803,6116.99,5792,3675,3680.47,1587,2779.66,5076.15,2344,2250.515509
资金流量表:金融交易:运用:通货:国外部门,,,,,,,59.75,135.09,71.85,48.3,95.35,148.08,99,153.8,182,198,247,243,390.45,370,235,234.92,101,177.43,11.2,-2,312.3
资金流量表:金融交易:运用:存款:合计,5964.7,6478.43,11776.92,13414,16720.53,13312.98,14120.99,12342.33,16962.38,19350.81,28104.3,36661.51,32189.43,43295.55,50806,54412,79792,132763,130662.2,116442,132275,156841,135698,161082.8,175304.3,145489,105615.0545
资金流量表:金融交易:运用:存款:非金融企业部门,3348.9,2558.99,4424.18,4518.38,6745.74,4342.26,3847.63,5053.07,7765.55,7096.34,10738.01,15776.31,15710.6,12477.24,19312,28556,23419,65916,62584.23,41373,46968,59271.04,42993,67002.03,83242.08,50647,11724.11941
资金流量表:金融交易:运用:存款:金融机构部门,,,,4518.4,,499.33,141.7,-787.91,537.84,215.17,192.52,501.91,-1572.13,845.17,790,117,3936,3713,3461.7,5396,5290,3931.59,13828,30346.45,1728.47,3976,-11.592258
资金流量表:金融交易:运用:存款:政府部门,-78.1,550.33,1182.88,1172.96,1459.55,975.36,1312.31,918.64,2053.56,2024.82,2898.32,3762.15,2244.55,7937.11,8582,12957,5731,19591,19487.33,19763,20569,36596.58,31870,23972.18,31936.17,36038,16168.2984
资金流量表:金融交易:运用:存款:住户部门,2693.9,3369.11,6169.86,7722.66,8515.24,7496.04,9257.12,7280.53,6609.86,9973.25,14251.7,16559.69,15678.24,21053.46,21284,10407,46543,43160,44491.54,47690,58929,55887.62,44788,46817.75,59333.76,49603,77091.69449
资金流量表:金融交易:运用:存款:国内合计,5964.7,6478.43,11776.92,13414,16720.53,13312.98,14558.75,12464.33,16966.81,19309.58,28080.56,36600.06,32061.26,42312.98,49967,52037,79629,132380,130024.7,114222,131756,155686.8,133478,168138.4,176240.5,140263,104972.52
资金流量表:金融交易:运用:存款:国外部门,,,,,,,-437.77,-122,-4.43,41.23,23.74,61.45,128.17,982.58,839,2375,163,383,637.43,2219,519,1154.16,2220,-7055.6,-936.16,5226,642.53441
